Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
drinkHerbalDecoction,items,Food,,,Herbal Decoction,,,,,,,,,,Травяной отвар,,,
drinkHerbalDecoctionDesc,items,Food,,,"Herbal decoction according to an old recipe. It's hot, delicious, and healing.",,,,,,,,,,"Травяной отвар по старинному рецепту. Горячий, вкусный, целебный.",,,
drinkMeatBroth,items,Food,,,Meat Broth,,,,,,,,,,Мясной бульон,,,
drinkMeatBrothDesc,items,Food,,,"Meat broth. Hearty, rich. Oh, I wish I had some black bread and garlic with it...",,,,,,,,,,"Мясной бульон. Сытный, наваристый. Эх, ещё бы хлеба к нему чёрного, чесночка...",,,
foodWhatAFishRaw,items,Food,,,"What a... Fish?! Raw!",,,,,,,,,,"Что за... Рыба?! Сырая!",,,
foodWhatAFishRawDesc,items,Food,,,"What?! Are there any more fish here?! Awesome!",,,,,,,,,,"Что?! Тут ещё рыба водится?! Офигеть!",,,
foodWhatAFishSmoked,items,Food,,,"What a... Fish?! Smoked!",,,,,,,,,,"Что за... Рыба?! Копчёная!",,,
foodWhatAFishSmokedDesc,items,Food,,,"And if you smoke it on pine cones, it turns out very tasty! You have to eat a little more. Only then you want to drink.",,,,,,,,,,"А если подкоптить на шишках сосновых, это очень даже вкусно выходит! Надо ещё сделать. Только пить хочется потом.",,,
foodWhatABait,items,Food,,,"Simple bait",,,,,,,,,,"Обыкновенная наживка",,,
foodWhatABaitDesc,items,Food,,,"The most common bait. You can make it from these nasty sandwiches or from all sorts of rotten stuff. Corn is also good. It's better not to eat it yourself, but the fish will gobble it up with pleasure.",,,,,,,,,,"Самая обыкновенная наживка. Можно изготовить хоть из этих мерзких сэндвичей, хоть из гнилья всякого. Кукуруза тоже годится. Самому лучше не есть, но рыбе сойдёт.",,,
toolBadFishingRod,items,Tool,,,"Bad Fishing Rod",,,,,,,,,,"Фиговая удочка",,,
toolBadFishingRodDesc,items,Tool,,,"A shitty fishing rod. It was put together on the knee, and every other time it catches all sorts of garbage. Of course, the fishing rod is to blame for everything. Certainly not the hands growing out of the ass.",,,,,,,,,,"Дерьмовая удочка. Собрана на коленке, так ещё и ловит через раз всякий мусор. Конечно же, удочка виновата во всём. Точно не растущие из жопы руки.",,,
toolBadFishingRodWithBait,items,Tool,,,"Bad Fishing Rod With Bait",,,,,,,,,,"Фиговая удочка с наживкой.",,,
toolBadFishingRodWithBaitDesc,items,Tool,,,"Hurray! Well done! After a hundred attempts, you finally managed to put the bait on the hook! My fingers are pricked, but the fish is worth it. It is worth it, right?..",,,,,,,,,,"Ура! Молодец! После сотни попыток наконец-то удалось насадить наживку на крючок! Пальцы исколоты, но рыба того стоит. Стоит же?..",,,
toolBadFishingRodWithAny,items,Tool,,,"You caught something...",,,,,,,,,,"Ты что-то поймал.",,,
toolBadFishingRodWithAnyDesc,items,Tool,,,"Ugh. A bunch of garbage, mud and other stuff got caught on the hook. Is there anything useful in this? Don't prick yourself, you fool!",,,,,,,,,,"Фу. На крючок намоталась куча всякого мусора, тины и прочего. Есть ли в этом хоть что-то полезное? Не уколись, дурень!",,,
foodFishFritters,items,Food,,,"Fish Fritters",,,,,,,,,,"Рыбные оладьи",,,
foodFishFrittersDesc,items,Food,,,"Tender fritters made with fresh fish, fried to a golden crisp. A light and nutritious meal for a quick bite.",,,,,,,,,,"Нежные оладьи из свежей рыбы, поджаренные до золотистой корочки. Легкое и питательное блюдо на скорую руку.",,,
foodFriedFishWithYucca,items,Food,,,"Fried Fish with yucca",,,,,,,,,,"Жареная рыба с юккой",,,
foodFriedFishWithYuccaDesc,items,Food,,,"A simple yet tasty fried fish seasoned with sweet yucca fruit. An excellent energy source for the traveler.",,,,,,,,,,"Простая, но вкусная жареная рыба, приправленная сладким фруктом Юкка. Отличный источник энергии для путешественника.",,,
foodFishMushroomSoup,items,Food,,,"Fish and Mushroom Soup",,,,,,,,,,"Рыбный суп с грибами",,,
foodFishMushroomSoupDesc,items,Food,,,"A hearty fish soup with forest mushrooms. A nourishing and warming dish that helps restore strength.",,,,,,,,,,"Наваристый рыбный суп с лесными грибами. Сытное и согревающее блюдо, которое поможет восстановить силы.",,,
foodFishSandwich,items,Food,,,"Fish Sandwich",,,,,,,,,,"Рыбный сэндвич",,,
foodFishSandwichDesc,items,Food,,,"A savory sandwich with smoked fish and corn tortilla. A quick snack that will restore your strength on the road.",,,,,,,,,,"Аппетитный сэндвич из копчёной рыбы и кукурузной лепешки. Легкий перекус, который поможет восстановить силы в пути.",,,
foodFishPotatoPie,items,Food,,,"Fish and Potato Pie",,,,,,,,,,"Рыбный пирог с картофелем",,,
